WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
540,0.058,0.882,0.061,0.177,0.012,0.717,0.043,0.448,0.027,0.505,0.030,0.334,0.020
541,0.080,0.884,0.084,0.181,0.017,0.721,0.060,0.448,0.037,0.507,0.042,0.331,0.028
542,0.100,0.886,0.105,0.185,0.022,0.725,0.076,0.448,0.047,0.509,0.053,0.329,0.034
543,0.113,0.888,0.118,0.189,0.025,0.730,0.085,0.447,0.052,0.511,0.060,0.326,0.038
544,0.119,0.891,0.124,0.193,0.027,0.734,0.090,0.447,0.055,0.513,0.063,0.324,0.040
545,0.121,0.893,0.127,0.197,0.028,0.738,0.092,0.447,0.055,0.515,0.064,0.322,0.040
546,0.124,0.895,0.130,0.201,0.029,0.743,0.094,0.447,0.057,0.517,0.066,0.320,0.041
547,0.130,0.897,0.136,0.205,0.031,0.747,0.099,0.447,0.059,0.519,0.069,0.318,0.042
548,0.141,0.899,0.147,0.209,0.034,0.751,0.108,0.447,0.064,0.521,0.075,0.316,0.045
549,0.160,0.901,0.166,0.213,0.039,0.755,0.122,0.447,0.072,0.522,0.084,0.315,0.051
550,0.188,0.903,0.195,0.217,0.047,0.759,0.144,0.448,0.085,0.524,0.099,0.314,0.059
551,0.222,0.905,0.230,0.221,0.056,0.763,0.170,0.448,0.100,0.525,0.117,0.312,0.069
552,0.251,0.907,0.260,0.225,0.064,0.767,0.193,0.448,0.112,0.527,0.132,0.311,0.078
553,0.268,0.908,0.277,0.229,0.070,0.771,0.206,0.449,0.120,0.528,0.141,0.310,0.083
554,0.275,0.910,0.284,0.233,0.073,0.775,0.212,0.449,0.123,0.529,0.145,0.310,0.085
555,0.277,0.912,0.286,0.237,0.074,0.779,0.214,0.450,0.123,0.531,0.145,0.309,0.085
556,0.278,0.914,0.286,0.241,0.076,0.783,0.214,0.450,0.123,0.532,0.146,0.309,0.085
557,0.278,0.916,0.286,0.245,0.077,0.787,0.215,0.451,0.124,0.533,0.146,0.308,0.084
558,0.280,0.917,0.287,0.249,0.078,0.790,0.217,0.452,0.124,0.534,0.146,0.308,0.084
559,0.281,0.919,0.289,0.254,0.080,0.794,0.218,0.453,0.124,0.534,0.147,0.308,0.085
560,0.283,0.921,0.290,0.258,0.081,0.797,0.220,0.454,0.125,0.535,0.148,0.308,0.085
561,0.285,0.922,0.291,0.262,0.083,0.801,0.221,0.455,0.126,0.536,0.148,0.308,0.085
562,0.286,0.924,0.292,0.266,0.084,0.804,0.223,0.456,0.126,0.537,0.149,0.309,0.086
563,0.287,0.926,0.294,0.270,0.086,0.808,0.224,0.457,0.127,0.537,0.149,0.309,0.086
564,0.289,0.927,0.294,0.274,0.087,0.811,0.225,0.458,0.127,0.538,0.149,0.310,0.086
565,0.290,0.929,0.295,0.279,0.089,0.814,0.227,0.460,0.128,0.538,0.150,0.311,0.086
566,0.291,0.930,0.296,0.283,0.090,0.817,0.228,0.461,0.128,0.538,0.150,0.312,0.087
567,0.293,0.932,0.297,0.287,0.092,0.820,0.229,0.462,0.129,0.539,0.150,0.313,0.087
568,0.294,0.933,0.298,0.291,0.093,0.823,0.230,0.464,0.130,0.539,0.151,0.314,0.088
569,0.295,0.935,0.299,0.295,0.095,0.826,0.232,0.465,0.130,0.539,0.151,0.315,0.088
570,0.297,0.936,0.301,0.300,0.096,0.829,0.233,0.467,0.131,0.539,0.152,0.316,0.089
571,0.299,0.937,0.302,0.304,0.098,0.832,0.235,0.469,0.132,0.539,0.152,0.318,0.090
572,0.301,0.939,0.304,0.308,0.100,0.835,0.237,0.470,0.133,0.539,0.153,0.319,0.090
573,0.303,0.940,0.306,0.312,0.102,0.837,0.238,0.472,0.134,0.539,0.153,0.321,0.091
574,0.305,0.941,0.308,0.316,0.103,0.840,0.240,0.474,0.136,0.539,0.154,0.322,0.092
575,0.307,0.943,0.309,0.321,0.105,0.842,0.242,0.476,0.137,0.538,0.154,0.324,0.093
576,0.309,0.944,0.311,0.325,0.107,0.845,0.243,0.478,0.138,0.538,0.155,0.326,0.094
577,0.311,0.945,0.312,0.329,0.109,0.847,0.245,0.480,0.139,0.538,0.155,0.328,0.095
578,0.312,0.946,0.313,0.333,0.110,0.849,0.246,0.482,0.140,0.537,0.156,0.330,0.096
579,0.314,0.948,0.315,0.337,0.112,0.851,0.247,0.485,0.141,0.537,0.156,0.332,0.096
580,0.315,0.949,0.316,0.342,0.114,0.853,0.248,0.487,0.142,0.536,0.156,0.334,0.097
581,0.316,0.950,0.316,0.346,0.115,0.855,0.249,0.489,0.143,0.536,0.156,0.337,0.098
582,0.317,0.951,0.317,0.350,0.117,0.857,0.250,0.492,0.143,0.535,0.156,0.339,0.099
583,0.318,0.952,0.318,0.354,0.118,0.859,0.251,0.494,0.144,0.534,0.156,0.341,0.100
584,0.319,0.953,0.318,0.358,0.120,0.861,0.252,0.497,0.145,0.534,0.156,0.344,0.100
585,0.321,0.954,0.319,0.363,0.121,0.862,0.252,0.499,0.146,0.533,0.156,0.346,0.101
586,0.322,0.955,0.320,0.367,0.123,0.864,0.253,0.502,0.147,0.532,0.156,0.349,0.102
587,0.323,0.956,0.321,0.371,0.125,0.865,0.254,0.504,0.148,0.531,0.156,0.351,0.103
588,0.325,0.957,0.322,0.375,0.126,0.867,0.255,0.507,0.149,0.530,0.156,0.354,0.104
589,0.326,0.958,0.323,0.379,0.128,0.868,0.256,0.510,0.151,0.529,0.156,0.357,0.105
590,0.328,0.959,0.324,0.383,0.130,0.869,0.257,0.513,0.152,0.528,0.156,0.360,0.106
591,0.329,0.960,0.326,0.388,0.131,0.870,0.258,0.516,0.153,0.527,0.156,0.362,0.108
592,0.331,0.961,0.327,0.392,0.133,0.871,0.259,0.519,0.154,0.526,0.157,0.365,0.109
593,0.332,0.962,0.328,0.396,0.135,0.872,0.260,0.522,0.156,0.525,0.157,0.368,0.110
594,0.334,0.963,0.330,0.400,0.137,0.873,0.262,0.525,0.157,0.524,0.157,0.371,0.111
595,0.336,0.964,0.331,0.404,0.139,0.873,0.263,0.528,0.159,0.523,0.157,0.374,0.112
596,0.338,0.964,0.332,0.408,0.141,0.874,0.264,0.531,0.160,0.522,0.157,0.377,0.114
